;FESTWERT;WERT
102;C_AdaPa_EKAMsgThreshold3Medium_f32;15.0
103;C_AdaPa_EKAMsgThresholdSpeedInactive_f32;0.0
104;C_AdaPa_EKAMsgThresholdSpeed_f32;0.0
105;C_AdaPa_EKAThresholdAccPedalGradientLightAcc_f32;100.0
106;C_AdaPa_EKAThresholdAccPedalGradientStrongAcc_f32;250.0
107;C_AdaPa_EKAThresholdAccPedal_f32;30.0
108;C_AdaPa_EKAThresholdBrakePedalPathHeavyBraking_f32;50.0
109;C_AdaPa_EKAThresholdBrakePedalPathLightBraking_f32;20.0
110;C_AdaPa_EKAThresholdSteeringAngleSpeed_f32;300.0
111;C_AdaPa_EKAThresholdSteeringMoment_f32;4.0
112;C_AdaPa_ELAActivityThresholdSpeedDeactiv_f32;65.0
113;C_AdaPa_ELAActivityThresholdSpeedLower_f32;70.0
114;C_AdaPa_ELAActivityThresholdSpeedUpper_f32;200.0
115;C_AdaPa_ELAAttentionIndicatorScalingMax_f32;9.9
116;C_AdaPa_ELAAttentionIndicatorScalingMin_f32;0.0
117;C_AdaPa_ELAClassifierOffsetAwake_f32;-0.5
118;C_AdaPa_ELAClassifierOffsetTired_f32;0.5
119;C_AdaPa_ELADrivingBehaviorPeriod_u16;1200.0
120;C_AdaPa_ELADrivingContextScalingMax_f32;1.2
121;C_AdaPa_ELADrivingContextScalingMin_f32;0.8
122;C_AdaPa_ELALaneDistanceModifactionParameter_f32;0.15
123;C_AdaPa_ELAMaxDrivingContextBrightnes_f32;1000.0
124;C_AdaPa_ELAMaxDrivingContextCircadian_f32;2.0
125;C_AdaPa_ELAMaxDrivingContextToT_u16;18000.0
126;C_AdaPa_ELAMaxValueToT_u16;18000.0
127;C_AdaPa_ELAMsgDelay_u16;0.0
128;C_AdaPa_ELAMsgPause_u16;0.0
129;C_AdaPa_ELAMsgThreshold1High_f32;6.0
130;C_AdaPa_ELAMsgThreshold1Low_f32;7.0
131;C_AdaPa_ELAMsgThreshold1Medium_f32;6.5
132;C_AdaPa_ELAMsgThreshold2High_f32;7.0
133;C_AdaPa_ELAMsgThreshold2Low_f32;8.0
134;C_AdaPa_ELAMsgThreshold2Medium_f32;7.5
135;C_AdaPa_ELAMsgThreshold3High_f32;8.0
136;C_AdaPa_ELAMsgThreshold3Low_f32;9.0
137;C_AdaPa_ELAMsgThreshold3Medium_f32;8.5
138;C_AdaPa_ELAMsgThresholdSpeedInactive_f32;65.0
139;C_AdaPa_ELAMsgThresholdSpeed_f32;70.0
140;C_AdaPa_ELASmootingParameterEMA_f32;0.05
141;C_AdaPa_ELAThresholdDrivingBehaviorFraction_u8;2.0
142;C_AdaPa_ELAThresholdDrivingBehaviorHistory_u8;2.0
143;C_AdaPa_ELAThresholdDrivingBehavior_u8;2.0
144;C_AdaPa_ELAThresholdLaneTimeCrossing_f32;0.5
145;C_AdaPa_ELAToTAIScalingMax_f32;6.5
146;C_AdaPa_ELAToTAIScalingMin_f32;4.0
147;C_AdaPa_EnvironmentBrightnessEMADecay_f32;0.5
148;C_AdaPa_FacAccLateralMAD_f32;1.0
149;C_AdaPa_FacAccLongitudinalMAD_f32;1.0
150;C_AdaPa_FacAccPedalGradientMAD_f32;1.0
151;C_AdaPa_FacAccPedalMAD_f32;1.0
152;C_AdaPa_FacCircadianRhythmELA_f32;10.0
153;C_AdaPa_FacCountersteeringMoment_f32;2.0
154;C_AdaPa_FacDaylightELA_f32;5.0
155;C_AdaPa_FacDriverActivityELA_f32;15.0
156;C_AdaPa_FacDriverBrakingMAD_f32;1.0
157;C_AdaPa_FacELADriverClassification_f32;10.0
158;C_AdaPa_FacMonotonyELA_f32;30.0
159;C_AdaPa_FacSteeringAngleMAD_f32;1.0
160;C_AdaPa_FacSteeringAngleSpeedMAD_f32;1.0
161;C_AdaPa_FacSteeringMomentMAD_f32;1.0
162;C_AdaPa_FacTimeOnTaskELAAI_f32;0.4
163;C_AdaPa_FacTimeOnTaskELADC_f32;30.0
164;C_AdaPa_FacUSSDMLevel_f32;0.05
165;C_AdaPa_FacVehicleSpeedMAD_f32;0.05
166;C_AdaPa_FacWeightingDtlILAIndex_f32;0.1
167;C_AdaPa_FacWeightingSteeringILAIndex_f32;0.4
168;C_AdaPa_FacWeightingTlcILAIndex_f32;1.0
169;C_AdaPa_FacYawRateMAD_f32;1.0
170;C_AdaPa_FktConfigDaylight_bln;0.0
171;C_AdaPa_FktConfigEKAActiveUserInteraction_bln;1.0
172;C_AdaPa_HoldTimeAcousticPhone_u16;20.0
173;C_AdaPa_HoldTimeAcousticVoiceControl_u16;20.0
174;C_AdaPa_HoldTimeAdjustmentVolume_u16;20.0
175;C_AdaPa_HoldTimeFactorActiveUserInteraction_f32;1.0
176;C_AdaPa_HoldTimeFlashing_u16;20.0
177;C_AdaPa_HoldTimeHeavyBraking_u16;20.0
178;C_AdaPa_HoldTimeInfotainment_u16;20.0
179;C_AdaPa_HoldTimeLightAcceleration_u16;20.0
180;C_AdaPa_HoldTimeLightBraking_u16;20.0
181;C_AdaPa_HoldTimeOperatingExteriorMirror_u16;20.0
182;C_AdaPa_HoldTimeOperatingFASButtons_u16;20.0
183;C_AdaPa_HoldTimeOperatingHighBeam_u16;20.0
184;C_AdaPa_HoldTimeOperatingMedia_u16;20.0
185;C_AdaPa_HoldTimeOperatingSeatAdjustment_u16;20.0
186;C_AdaPa_HoldTimeOperatingWiperLever_u16;20.0
187;C_AdaPa_HoldTimeOperationMenu_u16;20.0
188;C_AdaPa_HoldTimeOverrideLongitudinalControl_u16;20.0
189;C_AdaPa_HoldTimeStrongAcceleration_u16;20.0
190;C_AdaPa_HoldTimeStrongSteeringMovements_u16;20.0
191;C_AdaPa_MaxDtl_f32;1.5
192;C_AdaPa_MaxELAIndex_f32;9.9
193;C_AdaPa_MaxWeightedRateSteeringEvent_f32;0.8
194;C_AdaPa_MonoDriverInitTime_u16;300.0
195;C_AdaPa_PassengerPresenceEval_bln;1.0
196;C_AdaPa_PotentialAcousticPhone_u16;1.0
197;C_AdaPa_PotentialAcousticVoiceControl_u16;1.0
198;C_AdaPa_PotentialAdjustmentVolume_i16;1.0
199;C_AdaPa_PotentialFlashing_i16;-1.0
200;C_AdaPa_PotentialHeavyBraking_i16;-3.0
201;C_AdaPa_PotentialInfotainmentLevel1_u16;1.0
202;C_AdaPa_PotentialInfotainmentLevel2_u16;2.0
203;C_AdaPa_PotentialInfotainmentLevel3_u16;3.0
