42;DayligthMaxDecrease;400.0;400
126;ELAMaxValueToT;18000.0;18000
164;FacUSSDMLevel;0.05;0.05
245;ThresholdUSSDMQual;70.0;70
116;ELAAttentionIndicatorScalingMin;0.0;0
115;ELAAttentionIndicatorScalingMax;9.9;9.9
121;ELADrivingContextScalingMin;0.8;0.8
120;ELADrivingContextScalingMax;1.2;1.2
152;FacCircadianRhythmELA;10.0;10
108;EKAThresholdBrakePedalPathHeavyBraking;50.0;50
106;EKAThresholdAccPedalGradientStrongAcc;250.0;250
109;EKAThresholdBrakePedalPathLightBraking;20.0;20
204;PotentialLightAcceleration;-1.0;-1
123;ELAMaxDrivingContextBrightnes;1000.0;1000
124;ELAMaxDrivingContextCircadian;2.0;2
125;ELAMaxDrivingContextToT;18000.0;18000
162;FacTimeOnTaskELAAI;0.4;0.4
175;HoldTimeFactorActiveUserInteraction;1.0;1
83;EKAFactorMMIUserInteraction;4.0;4
82;EKAFactorActiveUserInteraction;4.0;4
73;EKAFASAdaptGradientDistraction;0.01;0.01
72;EKAFASAdaptGradientAttention;0.03;0.03
75;EKAFASAdaptMin;-12.0;-12
74;EKAFASAdaptMax;12.0;12
205;PotentialLightBraking;-1.0;-1
105;EKAThresholdAccPedalGradientLightAcc;100.0;100
107;EKAThresholdAccPedal;30.0;30
177;HoldTimeHeavyBraking;20.0;20
180;HoldTimeLightBraking;20.0;20
179;HoldTimeLightAcceleration;20.0;20
185;HoldTimeOperatingSeatAdjustment;20.0;20
186;HoldTimeOperatingWiperLever;20.0;20
182;HoldTimeOperatingFASButtons;20.0;20
190;HoldTimeStrongSteeringMovements;20.0;20
181;HoldTimeOperatingExteriorMirror;20.0;20
183;HoldTimeOperatingHighBeam;20.0;20
176;HoldTimeFlashing;20.0;20
174;HoldTimeAdjustmentVolume;20.0;20
187;HoldTimeOperationMenu;20.0;20
188;HoldTimeOverrideLongitudinalControl;20.0;20
189;HoldTimeStrongAcceleration;20.0;20
46;DeadTimeHeavyBraking;40.0;40
49;DeadTimeLightBraking;60.0;60
48;DeadTimeLightAcceleration;60.0;60
54;DeadTimeOperatingSeatAdjustment;50.0;50
55;DeadTimeOperatingWiperLever;20.0;20
51;DeadTimeOperatingFASButtons;40.0;40
59;DeadTimeStrongSteeringMovements;50.0;50
50;DeadTimeOperatingExteriorMirror;30.0;30
52;DeadTimeOperatingHighBeam;30.0;30
45;DeadTimeFlashing;20.0;20
44;DeadTimeAdjustmentVolume;40.0;40
56;DeadTimeOperationMenu;40.0;40
57;DeadTimeOverrideLongitudinalControl;50.0;50
58;DeadTimeStrongAcceleration;40.0;40
147;EnvironmentBrightnessEMADecay;0.5;0.5
41;DaylightBrightnessDefault;20000.0;20000
43;DayligthMaxIncrease;40000.0;40000
210;PotentialOperatingSeatAdjustment;3.0;3
211;PotentialOperatingWiperLever;-1.0;-1
207;PotentialOperatingFASButtons;1.0;1
215;PotentialStrongSteeringMovements;-3.0;-3
110;EKAThresholdSteeringAngleSpeed;300.0;300
111;EKAThresholdSteeringMoment;4.0;4
241;ThresholdSharpRightTurn;70.0;70
240;ThresholdSharpLeftTurn;-70.0;-70
40;DTLResetTicks;2000.0;2000
39;DTLRecDebounceTicks;1000.0;1000
38;DTLPreDebounceTicks;1200.0;1200
37;DTLMinSpeed;90.0;90
235;TLCMinSpeed;90.0;90
62;DiagRoutineMsgWaitingTime;30.0;30
61;DiagRoutineMsgLevelRuntime;30.0;30
222;SignalErrorDuration;5.0;5
226;SignalTimeoutDuration;5.0;5
122;ELALaneDistanceModifactionParameter;0.15;0.15
144;ELAThresholdLaneTimeCrossing;0.5;0.5
206;PotentialOperatingExteriorMirror;3.0;3
208;PotentialOperatingHighBeam;-2.0;-2
199;PotentialFlashing;-1.0;-1
200;PotentialHeavyBraking;-3.0;-3
198;PotentialAdjustmentVolume;1.0;1
212;PotentialOperationMenu;2.0;2
213;PotentialOverrideLongitudinalControl;-2.0;-2
214;PotentialStrongAcceleration;-3.0;-3
168;FacWeightingTlcILAIndex;1.0;1
244;ThresholdTlcCntIncludeInELA;900.0;900
250;TimeWindowTlcCntInTicks;3600.0;3600
166;FacWeightingDtlILAIndex;0.1;0.1
249;TimeWindowDtlInTicks;200.0;200
191;MaxDtl;1.5;1.5
167;FacWeightingSteeringILAIndex;0.4;0.4
255;YawRateEMATime;0.1;0.1
254;YawRateEMADecay;1.0;1
252;VehicleSpeedEMATime;0.1;0.1
251;VehicleSpeedEMADecay;0.002;0.002
246;TimVehPowStatOffInSec;120.0;120
248;TimeSteeringInactivityPeriodQualMs;1000.0;1000
247;TimeAttentionCheckMs;300.0;300
243;ThresholdSteeringInactivityPeriod;0.3;0.3
239;ThresholdDriverChangeVehicleSpeed;25.0;25
234;SteeringMomentEMATime;0.1;0.1
233;SteeringMomentEMADecay;0.005;0.005
231;SteeringAngleSpeedEMATime;0.1;0.1
230;SteeringAngleSpeedEMADecay;0.005;0.005
229;SteeringAngleEMATime;0.1;0.1
228;SteeringAngleEMADecay;0.005;0.005
194;MonoDriverInitTime;300.0;300
192;MaxELAIndex;9.9;9.9
169;FacYawRateMAD;1.0;1
165;FacVehicleSpeedMAD;0.05;0.05
161;FacSteeringMomentMAD;1.0;1
160;FacSteeringAngleSpeedMAD;1.0;1
159;FacSteeringAngleMAD;1.0;1
156;FacDriverBrakingMAD;1.0;1
151;FacAccPedalMAD;1.0;1
150;FacAccPedalGradientMAD;1.0;1
149;FacAccLongitudinalMAD;1.0;1
148;FacAccLateralMAD;1.0;1
65;DriverBrakingEMATime;0.1;0.1
64;DriverBrakingEMADecay;0.5;0.5
63;DriverActivityInitTimeInSec;300.0;300
60;DecayELAIndex;0.0005;0.0005
9;ActDrThrSpeedInKmh;5.0;5
8;ActDrBreakTimInSec;1200.0;1200
7;AccPedalGradientEMATime;0.1;0.1
6;AccPedalGradientEMADecay;0.05;0.05
5;AccPedalEMATime;0.1;0.1
4;AccPedalEMADecay;0.05;0.05
3;AccLongitudinalEMATime;0.1;0.1
2;AccLongitudinalEMADecay;0.05;0.05
1;AccLateralEMATime;0.1;0.1
0;AccLateralEMADecay;0.05;0.05
#############Remaining Values of ADTF#############;ADTF_Name;Value
0;ELAMsgSetting;3
1;FktConfigMsgKL15On;1
2;FktConfigMsgEKADisplay;1
3;ResetFactorySettings;0
4;FktConfigMsgOnDriverChange;1
5;FktConfigEKA;1
6;FktConfigELA;1
7;EKAMsgSetting;1
8;EKAMsgFactorySettings;1
